"UIyearXhsh10","UIyearXhsh06","UIyearXhsh04","UIyearXhsh02","UIyearXhsh00","UIyearXhsh98","UIyearXhsh95","t15nnn","in_sampled_window","code","b_ord_surv","twinYN","SexN","DOBYR","DOB3","Alive","BritStatus95","h95n","h95a","britstatus98","h98n","h98a","britstatus00","h00n","h00a","britstatus02","h02n","h02a","britstatus04","h04n","h04a","britstatus06","h06n","h06a","britstatus10","h10n","h10a","DecdateYr","COMPLED2010","Cody_c95num","cody_c98num","cody_c00num","cody_c02num","cody_c04num","cody_c06num","cody_c10num","MeT1","MeS1","FBcode","FBx","FBdob3","AFB","emumdecyrest","efadecyrest","BMHHH95","BMHHH98","BMHHH00","BMHHH02","BMHHH04","BMHHH06","BMHHH10","BFHHH95","BFHHH98","BFHHH00","BFHHH02","BFHHH04","BFHHH06","BFHHH10","acused95","ttsacks95","jjunezero95","LstockValField_rdKts95","HsVal_rdKts95","HsTotAsset_rdKts95","SumValue_rdKts95","IWC95","Loiske_rev95","acused98","ttsacks98","jjunezero98","LstockValField_rdKts98","HsVal_rdKts98","HsTotAsset_rdKts98","SumValue_rdKts98","IWC98","Loiske_rev98","acused00","ttsacks00","jjunezero00","LstockValField_rdKts00","HsVal_rdKts00","HsTotAsset_rdKts00","SumValue_rdKts00","IWC00","Loiske_rev00","acused02","ttsacks02","jjunezero02","LstockValField_rdKts02","HsVal_rdKts02","HsTotAsset_rdKts02","SumValue_rdKts02","IWC02","Loiske_rev02","acused04","ttsacks04","jjunezero04","LstockValField_rdKts04","HsVal_rdKts04","HsTotAsset_rdKts04","SumValue_rdKts04","IWC04","Loiske_rev04","acused06","ttsacks06","jjunezero06","LstockValField_rdKts06","HsVal_rdKts06","HsTotAsset_rdKts06","SumValue_rdKts06","IWC06","Loiske_rev06","acused10","ttsacks10","jjunezero10","LstockValField_rdKts10","HsVal_rdKts10","HsTotAsset_rdKts10","SumValue_rdKts10","IWC10","Loiske_rev10","sumnahxxa","delete","sumnacrop","deletecrop","sumnapcrop95","sumnapcrop98","sumnapcrop00","sumnapcrop02","sumnapcrop04","sumnapcrop06","sumnapcrop10","sumnamcrop95","sumnamcrop98","sumnamcrop00","sumnamcrop02","sumnamcrop04","sumnamcrop06","sumnamcrop10","sumnaacrop95","sumnaacrop98","sumnaacrop00","sumnaacrop02","sumnaacrop04","sumnaacrop06","sumnaacrop10","ttsacksabs","cumabs95","cumabs98","cumabs00","cumabs02","cumabs04","cumabs06","cumabs10","cumabsafb","ttsacksmean","cummean95","cummean98","cummean00","cummean02","cummean04","cummean06","cummean10","cummeanafb","ttsackssd","cumsd95","cumsd98","cumsd00","cumsd02","cumsd04","cumsd06","cumsd10","cumsdafb"
2010339,2006339,2004109,2002109,2000109,1998109,1995109,3667,1,10909,7,0,0,1980,1980-01-01,"a","PARS",109,"p","PARS",109,"p","PARS",109,"p","PARS",109,"p","PARS",109,"p","HH-HH",339,"p","HH-HH",339,"p",NA,0,"na","na","na","na","na","na","na","2006","m1",10918,"m",1998-12-12,18.9472222222222,NA,NA,1,1,999,999,999,999,999,1,1,999,999,999,999,999,0,0,NA,0,35.1,0,35.1,12,12,4,0.13,99,72.93,49.09,0,122.02,11,11,4,0.5,8,18.6,60.44,0,79.04,11,11,2,3,7,4.28,70.62,0,74.9,11,11,2,1,12,55.8,84.23,0,140.03,12,12,0,0,9,69.5,99.87,0,169.37,12,12,2,3,11,0,144.46,53.48,197.94,21,13,0,"no",0,"no",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.63,0,0.13,0.63,3.63,4.63,4.63,7.63,0.13,1.09,0,0.065,0.21,0.9075,0.926,0.771666666666667,1.09,0.065,1.35093794577447,NA,0.0919238815542512,0.259422435421457,1.41098960544246,1.22265285342979,1.15707245523635,1.35093794577447,0.0919238815542512
2010341,2006341,2004030,2002030,2000030,1998030,1995030,3686,1,3007,5,0,0,1990,1990-10-27,"a","M-ALONE",30,"p","M-ALONE",30,"p","M-ALONE",30,"p","M-ALONE",30,"p","M-ALONE",30,"p","HH-HH",341,"p","HH-HH",341,"p",NA,7,"0","2","4","6","na","na","na","2005","m1",34101,"f",2005-08-11,14.7888888888889,NA,2002,1,1,1,1,1,0,999,0,0,0,0,0,0,999,2,2.88,5,163.8,119.6,0,283.4,31,14,2.5,0.25,99,2.73,169.85,0,172.58,22,13,2,7.12,4,0,209.23,0,209.23,22,13,2.5,4.5,10,0,247.17,0,247.17,11,11,2,2,6,39.06,294.8,0,333.86,11,11,3,16,5,674.15,349.57,1389.99,2413.71,22,13,3,3,5,1008,2881.96,1982.59,5872.55,32,15,0,"no",0,"no",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.75,2.88,3.13,10.25,14.75,16.75,32.75,35.75,16.75,5.10714285714286,2.88,1.565,3.41666666666667,3.6875,3.35,5.45833333333333,5.10714285714286,3.35,5.2554882877671,NA,1.85969083452062,3.46629966006018,2.88158954976821,2.60714403131089,5.66640773918244,5.2554882877671,2.60714403131089
2010342,2006342,2004112,2002112,2000112,1998112,1995112,3706,1,11203,1,0,0,1986,1986-12-01,"a","PARS",112,"p","PARS",112,"p","PARS",112,"p","PARS",112,"p","PARS",112,"p","HH-HH",342,"p","HH-HH",342,"p",NA,7,"1","4","5","7","na","na","na","2005","m1",11212,"m",2004-02-22,17.225,NA,NA,1,1,1,1,1,999,999,1,1,1,1,1,999,999,2.5,3,7,0,35.1,0,35.1,11,11,5,6,99,8.19,49.09,0,57.28,11,11,2,2.5,6,7.44,60.44,0,67.88,21,13,2,7,11,12.84,70.62,0,83.46,11,11,3,5,9,0,84.23,0,84.23,12,12,1,6.5,6,6.95,349.57,33.37,389.89,21,13,1,12,4,590.4,505.66,320.89,1416.95,21,13,0,"no",0,"no",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,3,9,11.5,18.5,23.5,30,42,18.5,6,3,4.5,3.83333333333333,4.625,4.7,5,6,4.625,3.14907393794853,NA,2.12132034355964,1.89296944860009,2.21265300789196,1.92353840616713,1.87082869338697,3.14907393794853,2.21265300789196
2010343,2006343,2004053,2002053,2000053,1998053,1995053,3722,1,5303,1,0,0,1984,1984-12-23,"a","PARS",53,"p","PARS",53,"p","PARS",53,"p","PARS",53,"p","PARS",53,"p","HH-HH",343,"p","HH-HH",343,"p",NA,7,"1","4","5","7","na","na","na","2005","m1",5308,"f",2003-02-10,18.1305555555556,NA,NA,1,1,1,1,999,999,999,1,1,1,1,999,999,999,3,4,7,21.45,574.6,51.35,647.4,31,14,4,6,99,27.3,824.29,13.26,864.85,31,14,4,5.25,2,96.72,1046.14,15.7,1158.56,32,15,1,9,10,51.36,70.62,22.47,144.45,22,13,3.5,5.3,12,11.16,84.23,27.28,122.67,21,13,1,2.3,8,0,99.87,0,99.87,11,11,1,3.7,3,37.44,505.66,267.41,810.51,21,13,0,"no",0,"no",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.55,4,10,15.25,24.25,29.55,31.85,35.55,24.25,5.07857142857143,4,5,5.08333333333333,6.0625,5.91,5.30833333333333,5.07857142857143,6.0625,2.12482492275974,NA,1.4142135623731,1.01036297108185,2.125,1.8716303053755,2.23034003386629,2.12482492275974,2.125
2010345,2006345,2004068,2002068,2000068,1998068,NA,3730,1,6809,NA,0,0,1984,1984-01-01,"a","U-REL",68,"a","F-ALONE",68,"p","F-ALONE",68,"p","F-ALONE",68,"p","FM-ALONE",68,"p","HH-HH",345,"p","HH-HH",345,"p",NA,7,"0","0","0","5","7","na","na","2006","h1",34501,"m",2004-09-27,20.7388888888889,1995,NA,0,0,0,0,999,999,999,0,1,1,1,999,999,999,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0.75,99,702,49.09,74.88,825.97,32,15,4.5,10,0,465,60.44,74.58,600.02,31,14,9,10.5,0,485.78,70.62,135.89,692.29,31,14,6,46,0,3162,84.23,177.32,3423.55,32,15,0,0,NA,0,349.57,209.88,559.45,31,14,1,7,NA,24.96,144.46,0,169.42,10,11,0,"no",1,"no",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,74.25,0,0.75,10.75,21.25,67.25,67.25,74.25,67.25,12.375,NA,0.75,5.375,7.08333333333333,16.8125,13.45,12.375,16.8125,17.0702592247452,NA,NA,6.54073772597557,5.49052213667638,19.9680734757596,18.8566964232869,17.0702592247452,19.9680734757596
2010347,2006347,NA,2002050,2000050,1998050,1995050,3744,1,5008,9,0,0,1986,1986-12-13,"a","PARS",50,"p","PARS",50,"p","M-ALONE",50,"p","M-ALONE",50,"p","U-REL",50,"a","HH-HH",347,"p","HH-HH",347,"p",NA,7,"0","3","5","7","na","na","na","2010","x1",34701,"m",2004-11-28,17.9583333333333,NA,2006,1,1,1,1,0,999,999,1,1,0,0,0,999,999,6.5,4.5,6,3.9,35.1,0,39,11,11,7.5,3,99,2.73,49.09,0,51.82,21,13,1,2.25,1,3.72,60.44,0,64.16,11,11,1,4,7,4.28,70.62,53.5,128.4,21,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,1,4,0,349.57,0,349.57,11,11,1,3,5,0,144.46,320.89,465.35,21,13,0,"no",1,"no",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,17.75,4.5,7.5,9.75,13.75,13.75,14.75,17.75,13.75,2.95833333333333,4.5,3.75,3.25,3.4375,3.4375,2.95,2.95833333333333,3.4375,1.24916638870355,NA,1.06066017177982,1.14564392373896,1.00778221853732,1.00778221853732,1.39642400437689,1.24916638870355,1.00778221853732
2010350,2006350,2004010,2002010,2000010,1998010,1995010,3761,1,1004,2,0,0,1987,1987-01-01,"a","PARS",10,"p","PARS",10,"p","PARS",10,"p","PARS",10,"p","PARS",10,"p","HH-HH",350,"p","HH-HH",350,"p",NA,7,"1","4","6","7","na","na","na","2005","m1",1017,"m",2004-09-10,17.6916666666667,NA,NA,1,1,1,1,1,999,999,1,1,1,1,1,999,999,3,11,1,15.6,574.6,90.35,680.55,31,14,3,10,99,0,824.29,61.62,885.91,32,15,2.5,17,2,55.8,1046.14,121.08,1223.02,32,15,4,16,3,0,1263.67,135.89,1399.56,31,14,2.8,22,2,55.8,1545.9,388.1,1989.8,32,15,2,16,NA,0,349.57,9.74,359.31,22,13,2,9,7,24.96,144.46,68.77,238.19,21,13,0,"no",0,"no",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,11,21,38,54,76,92,101,76,14.4285714285714,11,10.5,12.6666666666667,13.5,15.2,15.3333333333333,14.4285714285714,15.2,4.64962876142253,NA,0.707106781186548,3.78593889720018,3.51188458428425,4.86826457785523,4.36653943835008,4.64962876142253,4.86826457785523
2010354,2006354,2004304,NA,NA,NA,NA,3788,1,6011,3,0,0,1989,1989-01-01,"d",NA,NA,NA,"U-F",60,"a","U-F",60,"a","U-M",60,"a","M-ALONE",304,"p","HH-HH",354,"p","HH-HH",354,"p",2011,3,"0","0","na","na","na","na","na","2006","x1",35401,"f",2006-10-01,17.75,2007,NA,999,999,999,1,1,0,999,999,1,1,999,0,0,999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,294.8,102.91,397.71,21,13,1,6,NA,0,349.57,234.9,584.47,31,14,1.5,8,12,0,144.46,15.29,159.75,22,13,1,"no",4,"no",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,14,0,0,0,0,0,6,14,6,4.66666666666667,NA,NA,NA,NA,0,3,4.66666666666667,3,4.16333199893227,NA,NA,NA,NA,NA,4.24264068711928,4.16333199893227,4.24264068711928
2010359,NA,NA,NA,NA,1998023,1995023,3840,1,2304,2,0,0,1985,1985-07-04,"a","M-ALONE",23,"p","M-ALONE",23,"p","U-ALL",23,"a",NA,NA,NA,NA,NA,NA,NA,NA,NA,"HH-HH",359,"p",NA,5,"1","4","na","na","na","na","na","2002","m1",35901,"f",2006-02-10,20.6,2005,NA,1,1,999,999,999,999,999,0,0,999,999,999,999,999,2.5,5,5,0,35.1,12.35,47.45,21,13,2,0,99,0,49.09,0,49.09,11,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,10,11,0,144.46,0,144.46,12,12,3,"no",4,"no",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,15,5,5,5,5,5,5,15,5,5,5,2.5,2.5,2.5,2.5,2.5,5,2.5,5,NA,3.53553390593274,3.53553390593274,3.53553390593274,3.53553390593274,3.53553390593274,5,3.53553390593274
2010363,2006363,NA,NA,NA,NA,1995146,3854,1,14603,1,1,0,1981,1981-01-01,"a","PARS",146,"p","U-ALL",146,"a","U-SPOUSE",146,"a","U-SPOUSE",146,"a","U-SPOUSE",311,"a","HH-HH",363,"p","HH-HH",363,"p",NA,5,"5","na","na","na","na","na","na","1997","h1",14612,"f",1999-06-01,18.4166666666667,NA,2001,1,999,999,999,999,999,999,1,999,999,999,999,999,999,1.5,9,6,0,35.1,0,35.1,12,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,7.5,6,69.5,99.87,43.09,212.46,21,13,2,15,2,1008,2881.96,469.87,4359.83,31,14,0,"no",4,"no",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,31.5,9,9,9,9,9,16.5,31.5,9,10.5,9,9,9,9,9,8.25,10.5,9,3.96862696659689,NA,NA,NA,NA,NA,1.06066017177982,3.96862696659689,0
2010364,2006364,2004147,2002147,2000109,1998109,1995109,3865,1,10908,5,0,0,1977,1977-01-01,"a","PARS",109,"p","PARS",109,"p","PARS",109,"p","REL",147,"p","REL",147,"p","HH-HH",364,"p","HH-HH",364,"p",NA,7,"na","na","na","na","na","na","na","2000","m1",10916,"u",1995-01-01,18,NA,NA,1,999,999,999,999,999,999,1,999,999,999,999,999,999,0,0,NA,0,35.1,0,35.1,12,12,4,0.13,99,72.93,49.09,0,122.02,11,11,4,0.5,8,18.6,60.44,0,79.04,11,11,1.75,11,4,4.28,70.62,0,74.9,12,12,4,5.5,6,83.7,84.23,0,167.93,12,12,0.5,5,7,104.25,99.87,0,204.12,12,12,3,11.5,0,62.4,144.46,0,206.86,12,12,0,"no",0,"no",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.63,0,0.13,0.63,11.63,17.13,22.13,33.63,0,4.80428571428571,0,0.065,0.21,2.9075,3.426,3.68833333333333,4.80428571428571,0,4.95309282887254,NA,0.0919238815542512,0.259422435421457,5.39915656993448,4.81740386515393,4.35646837090167,4.95309282887254,0
2010365,2006365,2004126,2002126,2000126,1998126,1995126,3886,1,12606,4,0,0,1984,1984-11-23,"a","M-ALONE",126,"p","M-ALONE",126,"p","M-ALONE",126,"p","M-ALONE",126,"p","M-ALONE",126,"p","HH-HH",365,"p","HH-HH",365,"p",NA,7,"3","6","7","na","na","na","na","2003","hp1",12610,"m",2000-11-01,15.9388888888889,2007,NA,1,1,1,1,999,999,999,0,0,0,0,999,999,999,6,3.5,6,3.9,35.1,0,39,12,12,5,0,99,0,49.09,3.12,52.21,21,13,1.5,4,0,0,60.44,0,60.44,10,11,1.5,10.5,4,0,70.62,0,70.62,10,11,1.5,8,4,737.8,84.23,0,822.03,12,12,1,17.25,6,55.6,349.57,9.74,414.91,21,13,1,5,5,37.44,505.66,53.48,596.58,22,13,0,"no",0,"no",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.25,3.5,3.5,7.5,18,26,43.25,48.25,3.5,6.89285714285714,3.5,1.75,2.5,4.5,5.2,7.20833333333333,6.89285714285714,1.75,5.66395243119654,NA,2.47487373415292,2.17944947177034,4.37797517885457,4.10182886039874,6.13680834527743,5.66395243119654,2.47487373415292
2010371,2006371,2004044,2002044,2000044,1998044,1995044,3932,1,4408,6,0,0,1988,1988-07-01,"a","PARS",44,"p","PARS",44,"p","PARS",44,"p","PARS",44,"p","PARS",44,"p","HH-HH",371,"p","HH-HH",371,"p",NA,7,"0","2","4","5","7","na","na","2005","x1",37103,"m",2003-12-05,15.4277777777778,NA,NA,1,1,1,1,1,0,999,1,1,1,1,1,0,999,4.5,8,5,136.5,35.1,0,171.6,11,11,6,4,99,78.39,49.09,0,127.48,10,11,5,12,3,279,60.44,0,339.44,22,13,6,4.5,6,561.75,70.62,0,632.37,12,12,7,21,6,1170.56,84.23,68.19,1322.98,22,13,2.5,3,NA,0,349.57,243.25,592.82,31,14,1,4,8,0,505.66,133.7,639.36,22,13,0,"no",0,"no",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.5,8,12,24,28.5,49.5,52.5,56.5,28.5,8.07142857142857,8,6,8,7.125,9.9,8.75,8.07142857142857,7.125,6.50915106746246,NA,2.82842712474619,4,3.70528901256928,6.98569967862919,6.85383104548106,6.50915106746246,3.70528901256928
2010376,2006001,2004316,2002001,2000001,1998001,1995001,3963,1,106,4,0,0,1985,1985-10-14,"a","PARS",1,"p","PARS",1,"p","PARS",1,"p","PARS",1,"p","HH-HH",316,"p","PARS",1,"p","HH-HH",376,"p",NA,7,"2","5","7","na","na","na","na","2004","xp1",118,"f",2001-12-01,16.1305555555556,NA,NA,1,1,1,1,999,999,999,1,1,1,1,999,999,999,8,10.5,1,435.5,35.1,74.75,545.35,32,15,8,11,99,361.92,49.09,106.86,517.87,31,14,5,11.25,1,316.2,60.44,152.52,529.16,31,14,3,17,6,515.74,247.17,182.97,945.88,32,15,0,0,NA,0,84.23,0,84.23,12,12,3,26.5,2,2383.85,1251.27,293.29,3928.41,32,15,6,25.66,4,1070.4,2881.96,401.11,4353.47,22,13,0,"no",0,"no",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101.91,10.5,21.5,32.75,49.75,49.75,76.25,101.91,32.75,14.5585714285714,10.5,10.75,10.9166666666667,12.4375,9.95,12.7083333333333,14.5585714285714,10.9166666666667,9.3437509038063,NA,0.353553390593274,0.381881307912987,3.05760663482622,6.16035713250458,8.71839530341832,9.3437509038063,0.381881307912987
2010377,2006184,2004184,2002184,2000184,1998184,NA,3971,1,18406,4,0,0,1988,1988-01-01,"a",NA,NA,NA,"PARS",184,"p","PARS",184,"p","PARS",184,"p","PARS",184,"p","PARS",184,"p","HH-HH",377,"p",NA,9,"na","na","5","7","8","9","na","2009","m1",18416,"f",2005-03-01,17.1666666666667,NA,NA,999,1,1,1,1,1,999,999,1,1,1,1,1,999,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,6,99,391.95,824.29,74.88,1291.12,32,15,5,19,2,18.6,1046.14,167.58,1232.32,32,15,2,11,2,401.25,835.67,129.47,1366.39,32,15,6,37,NA,554.9,1038.03,313.72,1906.65,32,15,4,20,5,2376.9,1251.27,1071.7,4699.87,32,15,5,19.66,NA,49.92,505.66,336.17,891.75,22,13,1,"no",1,"no",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112.66,0,6,25,36,73,93,112.66,73,18.7766666666667,NA,6,12.5,12,18.25,18.6,18.7766666666667,18.25,10.5653805736787,NA,NA,9.19238815542512,6.557438524302,13.5984067694222,11.8025420990565,10.5653805736787,13.5984067694222
2010382,2006042,2004042,2002042,2000042,1998042,1995042,4012,1,4205,3,0,0,1989,1989-03-01,"a","PARS",42,"p","PARS",42,"p","PARS",42,"p","PARS",42,"p","PARS",42,"p","PARS",42,"p","HH-HH",382,"p",NA,6,"0","0","1","3","4","na","na","2007","m1",4213,"f",2006-04-13,17.1166666666667,NA,NA,1,1,1,1,1,1,999,1,1,1,1,1,1,999,2.5,2,7,0,35.1,0,35.1,12,12,3.5,1.38,99,10.92,49.09,13.26,73.27,22,13,1,2.37,9,0,60.44,0,60.44,21,13,2,9.4,10,0,70.62,0,70.62,10,11,3,6.3,7,0,84.23,0,84.23,12,12,1,3.5,9,0,99.87,9.74,109.61,21,13,1,8,3,0,505.66,320.89,826.55,21,13,0,"no",0,"no",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.95,2,3.38,5.75,15.15,21.45,24.95,32.95,24.95,4.70714285714286,2,1.69,1.91666666666667,3.7875,4.29,4.15833333333333,4.70714285714286,4.15833333333333,3.18121944273845,NA,0.43840620433566,0.500233278914282,3.76389315292911,3.44785440527874,3.10067358273435,3.18121944273845,3.10067358273435
2010383,2006067,NA,NA,NA,1998067,1995067,4019,1,6704,2,0,0,1984,1984-12-25,"a","PARS",67,"p","PARS",67,"p","U-ALL",67,"a","U-ALL",67,"a","U-ALL",67,"a","PARS",67,"p","HH-HH",383,"p",NA,7,"3","6","na","na","na","na","na","2004","x1",6709,"f",2003-10-13,18.8,NA,NA,1,1,999,999,999,999,999,1,1,999,999,999,999,999,2.5,5.5,3,79.95,35.1,51.35,166.4,31,14,3,6,99,67.86,49.09,19.5,136.45,22,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,4.5,8,291.9,99.87,43.09,434.86,21,13,4,9,4,0,144.46,469.87,614.33,31,14,0,"no",3,"no",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,25,5.5,11.5,11.5,11.5,11.5,16,25,11.5,6.25,5.5,5.75,5.75,5.75,5.75,5.33333333333333,6.25,5.75,1.93649167310371,NA,0.353553390593274,0.353553390593274,0.353553390593274,0.353553390593274,0.763762615825973,1.93649167310371,0.353553390593274
2010385,2006101,2004068,2002068,2000068,1998068,1995068,4034,1,6804,2,0,0,1985,1985-01-01,"a","PARS",68,"p","PARS",68,"p","PARS",68,"p","PARS",68,"p","FM-ALONE",68,"p","REL",101,"p","HH-HH",385,"p",NA,7,"0","2","4","6","na","na","na","2005","m1",6812,"f",2004-03-01,19.1666666666667,2003,NA,1,1,1,1,999,999,999,1,1,1,1,999,999,999,3,15.75,NA,341.25,35.1,51.35,427.7,31,14,4,0.75,99,702,49.09,74.88,825.97,32,15,4.5,10,0,465,60.44,74.58,600.02,31,14,9,10.5,0,485.78,70.62,135.89,692.29,31,14,6,46,0,3162,84.23,177.32,3423.55,32,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,15,1,0,505.66,320.89,826.55,22,13,0,"no",1,"no",NA,NA,NA,NA,NA,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,15.75,16.5,26.5,37,83,83,98,83,16.3333333333333,15.75,8.25,8.83333333333333,9.25,16.6,16.6,16.3333333333333,16.6,15.4868223553661,NA,10.6066017177982,7.56774955540505,6.23498195666996,17.2993858272483,17.2993858272483,15.4868223553661,17.2993858272483
2010386,2006050,2004050,2002050,2000050,1998050,1995050,4041,1,5006,7,0,0,1982,1982-01-01,"a","PARS",50,"p","PARS",50,"p","M-ALONE",50,"p","M-ALONE",50,"p","M-ALONE",50,"p","M-ALONE",50,"p","HH-HH",386,"p",NA,7,"4","7","na","na","na","na","na",NA,"u",5019,"m",2005-01-01,23,NA,2006,1,1,1,999,999,999,999,1,1,0,999,999,999,999,6.5,4.5,6,3.9,35.1,0,39,11,11,7.5,3,99,2.73,49.09,0,51.82,21,13,1,2.25,1,3.72,60.44,0,64.16,11,11,1,4,7,4.28,70.62,53.5,128.4,21,13,1,2.8,7,0,84.23,0,84.23,11,11,0.5,4,6,0,99.87,0,99.87,11,11,1,3,8,0,144.46,0,144.46,12,12,0,"no",0,"no",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.55,4.5,7.5,9.75,13.75,16.55,20.55,23.55,16.55,3.36428571428571,4.5,3.75,3.25,3.4375,3.31,3.425,3.36428571428571,3.31,0.808658501116863,NA,1.06066017177982,1.14564392373896,1.00778221853732,0.918150314491042,0.868187767709267,0.808658501116863,0.918150314491042
2010389,2006044,2004044,2002044,2000044,1998044,1995044,4071,1,4407,5,0,0,1982,1982-01-01,"a","PARS",44,"p","PARS",44,"p","PARS",44,"p","PARS",44,"p","PARS",44,"p","PARS",44,"p","HH-HH",389,"p",NA,7,"4","7","na","na","na","na","na",NA,"u",4415,"f",1999-05-21,17.3888888888889,NA,NA,1,1,1,999,999,999,999,1,1,1,999,999,999,999,4.5,8,5,136.5,35.1,0,171.6,11,11,6,4,99,78.39,49.09,0,127.48,10,11,5,12,3,279,60.44,0,339.44,22,13,6,4.5,6,561.75,70.62,0,632.37,12,12,7,21,6,1170.56,84.23,68.19,1322.98,22,13,6,14,5,1980.75,349.57,83.41,2413.73,22,13,2,6,5,403.2,144.46,0,547.66,12,12,0,"no",0,"no",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.5,8,12,24,28.5,49.5,63.5,69.5,12,9.92857142857143,8,6,8,7.125,9.9,10.5833333333333,9.92857142857143,6,6.15378319564864,NA,2.82842712474619,4,3.70528901256928,6.98569967862919,6.46851348198848,6.15378319564864,2.82842712474619
2010390,NA,2004258,NA,2000258,NA,NA,4078,1,7214,5,0,0,1987,1987-01-01,"a",NA,NA,NA,NA,NA,NA,"PARS",258,"p",NA,NA,NA,"M-ALONE",258,"p","U-SPOUSE",258,"a","HH-HH",390,"p",NA,0,"na","na","na","na","na","na","na","2003","x1",7215,"f",2004-06-01,17.4166666666667,NA,2001,999,999,999,999,1,999,999,999,999,999,999,0,999,999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,5,7,3.72,209.23,0,212.95,22,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,19,5,16.74,84.23,27.28,128.25,22,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,12,4,0,505.66,320.89,826.55,21,13,3,"no",4,"no",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,36,0,0,5,5,24,24,36,24,12,NA,NA,5,5,12,12,12,12,7,NA,NA,NA,NA,9.89949493661167,9.89949493661167,7,9.89949493661167
2010395,2006249,2004210,2002210,2000210,1998210,NA,4115,1,21005,3,1,0,1990,1990-01-01,"a",NA,NA,NA,"M-ALONE",210,"p","M-ALONE",210,"p","M-ALONE",210,"p","M-ALONE",210,"m","REL",249,"p","HH-HH",395,"p",NA,0,"na","0","0","0","0","na","na","2006","m1",39501,"f",2007-04-01,17.25,2005,1996,999,1,1,1,1,0,999,999,0,0,0,0,0,999,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,3.25,99,54.6,49.09,0,103.69,12,12,1,0,NA,18.6,60.44,0,79.04,22,13,NA,0,NA,0,70.62,0,70.62,10,11,1.5,2.5,6,0,84.23,142.6,226.83,21,13,1,2.2,7,0,349.57,0,349.57,11,11,3,25,2,617.28,505.66,53.48,1176.42,22,13,1,"no",1,"no",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.95,0,3.25,3.25,3.25,5.75,7.95,32.95,7.95,5.49166666666667,NA,3.25,1.625,1.08333333333333,1.4375,1.59,5.49166666666667,1.59,9.65092828004989,NA,NA,2.29809703885628,1.87638837486628,1.68788575837742,1.5009996668887,9.65092828004989,1.5009996668887
